time,bat,alt,lat,lon,vx,vy,vz,wnd_dir,wnd_spd,gps,heading,roll,pitch,gps_glitch_x,gps_glitch_y
1563177180.8381538,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.8391519,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.840152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.841151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.8421519,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.849154,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.850152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.85215,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.855152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.85915,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.863153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.864151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.865151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.8671489,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.868151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.869149,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.870151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.8771539,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.880157,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.8811529,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.882156,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.88515,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.8891509,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.8901498,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.891149,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.892149,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.894152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.895151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.8961499,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.90115,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.903151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.90415,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.906153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.907151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.914152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.915151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.9171488,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.9191508,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.920152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.92215,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.926153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.928151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.930152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.934151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.9381518,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.939152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.941151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.942152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.94415,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.94515,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.949151,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.95015,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.951149,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.953153,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.9541528,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.95515,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
1563177180.957152,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
